Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
30.04.2021 16:00;18,83;66,63;13,64;17,77;97,54
30.04.2021 17:00;18,44;41,63;17,54;22,65;90,61
30.04.2021 18:00;13,7;55,55;20,57;26,11;87,15
30.04.2021 19:00;11,07;68,34;21,55;26,18;84,25
30.04.2021 20:00;9,13;113,27;20,36;23,47;83,48
30.04.2021 21:00;10,02;110,35;17,69;19,47;78,51
30.04.2021 22:00;8,99;173,68;36,16;38,65;57,86
30.04.2021 23:00;6,74;150,59;27,62;29,01;62,18
1.05.2021 00:00;7,48;110,82;26,5;29,29;62,27
1.05.2021 01:00;11,23;250,43;39,05;44,13;43,1
1.05.2021 02:00;10,89;186,04;27,22;29,23;57,07
1.05.2021 03:00;8,3;165,29;21,07;23,07;68,34
1.05.2021 04:00;10,25;178,19;27,64;30,75;61,72
1.05.2021 05:00;12,64;129,05;19,67;25,41;74,02
1.05.2021 06:00;10,98;252,32;20,56;22,16;59,21
1.05.2021 07:00;10,78;363,45;55,67;68,21;25,01
1.05.2021 08:00;18,25;425,53;66,98;93,61;28,95
1.05.2021 09:00;34,24;307,65;41,16;54,97;64,35
1.05.2021 10:00;33,01;224,99;22,12;27,61;94,99
1.05.2021 11:00;33,13;186,77;26,48;33,23;89,49
1.05.2021 12:00;35,85;162,57;18,27;25,09;94,64
1.05.2021 13:00;36,08;151,25;13,77;17,62;98,99
1.05.2021 14:00;29,59;169,46;13,38;17,75;96,48
1.05.2021 15:00;23,15;167,65;16,24;21,84;95,47
1.05.2021 16:00;23,79;134,51;15,47;20,78;91,57
1.05.2021 17:00;25,73;110,2;13,35;16,76;90,72
1.05.2021 18:00;21,31;118,32;13,76;17,02;89,9
1.05.2021 19:00;15,02;150,2;20,72;24,53;83,81
1.05.2021 20:00;16,19;204,13;27,01;29,66;69,18
1.05.2021 21:00;18,37;153,7;20,05;21,19;66,23
1.05.2021 22:00;15,39;153,08;19,5;20,39;61,43
1.05.2021 23:00;12,51;177,7;52,21;60,77;44,36
2.05.2021 00:00;18,85;527,01;91,34;119,69;9,74
2.05.2021 01:00;26,92;392,04;80,14;105,63;10,97
2.05.2021 02:00;24,09;242,28;46,81;54,29;31,06
2.05.2021 03:00;20,38;133,52;23,64;25,71;54,53
2.05.2021 04:00;21,79;88,02;12,49;14,26;68,35
2.05.2021 05:00;24,28;101,72;17,71;19,46;60,49
2.05.2021 06:00;20,52;152,26;24,04;28,6;47,86
2.05.2021 07:00;15,02;181,85;24,5;27,81;47,88
2.05.2021 08:00;12,61;69,16;12,82;15,99;72,93
2.05.2021 09:00;20,07;93,23;10,35;12,66;83,06
2.05.2021 10:00;20,33;139,65;10,93;16,13;87,68
